name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
André Boucherle;scholar;1924.0;Valence;44.580095;4.753405;26;Drôme;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Andr%C3%A9_Boucherle
Paul Ricœur;scholar;1913.0;Valence;44.580095;4.753405;26;Drôme;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Paul_Ric%C5%93ur
Henri Laugier;scholar;1888.0;Mane;44.59619;6.08892;5;Hautes-Alpes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Henri_Laugier
François Jullien;scholar;1951.0;Embrun;44.602963;6.519088;5;Hautes-Alpes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Jullien
Pierre Grégory;scholar;1945.0;Figeac;44.609226;2.02419;46;Lot;Occitanie;https://fr.wikipedia.org/wiki/Pierre_Gr%C3%A9gory
Simone Vierne;scholar;1930.0;Savoie;44.617348;0.181972;47;Lot-et-Garonne;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Simone_Vierne
Yves-Marie Bercé;scholar;1936.0;Mesterrieux;44.645885;-0.012921;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Yves-Marie_Berc%C3%A9
Pierre Laborie;scholar;1936.0;Bagnac-sur-Célé;44.662987;2.148639;46;Lot;Occitanie;https://fr.wikipedia.org/wiki/Pierre_Laborie
Francis Vian;scholar;1917.0;Privas;44.726042;4.594919;7;Ardèche;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Francis_Vian
Philippe Presles;scholar;1957.0;Talence;44.80642;-0.592018;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Philippe_Presles
Alain Bonnet (chercheur);scholar;1945.0;Caudéran;44.845587;-0.613117;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Alain_Bonnet_(chercheur)
Jean-Luc Nancy;scholar;1940.0;Caudéran;44.845587;-0.613117;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean-Luc_Nancy
Edmond Jouve;scholar;1937.0;Nadaillac-de-Rouge;44.850169;1.43119;46;Lot;Occitanie;https://fr.wikipedia.org/wiki/Edmond_Jouve
Alain Barrère;scholar;1910.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Alain_Barr%C3%A8re
André Mandouze;scholar;1916.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Andr%C3%A9_Mandouze
Jacques-Olivier Boudon;scholar;1962.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jacques-Olivier_Boudon
Jean Delabroy;scholar;1947.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean_Delabroy
Jean-Luc Fournet;scholar;1965.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean-Luc_Fournet
Pierre Clarac;scholar;1894.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Pierre_Clarac
Yves Daudet;scholar;1940.0;Bordeaux;44.851897;-0.587877;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Yves_Daudet
Suzanne Daveau;scholar;1925.0;Ribeiro;44.85582;1.882273;46;Lot;Occitanie;https://fr.wikipedia.org/wiki/Suzanne_Daveau
Bernard Francou;scholar;1948.0;Briançon;44.896187;6.637231;5;Hautes-Alpes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Bernard_Francou
Jean-Benoît Puech;scholar;1947.0;Aurillac;44.918771;2.435053;15;Cantal;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Jean-Beno%C3%AEt_Puech
Nicolas Grimal;scholar;1948.0;Libourne;44.920384;-0.226836;33;Gironde;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Nicolas_Grimal
André Laronde;scholar;1940.0;Grenoble;45.182828;5.724369;38;Isère;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Andr%C3%A9_Laronde
Jacques Solé;scholar;1932.0;Grenoble;45.182828;5.724369;38;Isère;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Jacques_Sol%C3%A9
Jean-Louis Dessalles;scholar;1956.0;Périgueux;45.193072;0.711299;24;Dordogne;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean-Louis_Dessalles
Gérard Conac;scholar;1930.0;Vorey;45.193122;3.91346;43;Haute-Loire;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/G%C3%A9rard_Conac
Jean-Pierre Poulain;scholar;1956.0;Tulle;45.267177;1.764073;19;Corrèze;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean-Pierre_Poulain
Louis Glangeaud;scholar;1903.0;Tulle;45.267177;1.764073;19;Corrèze;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Louis_Glangeaud
René de Lacharrière;scholar;1915.0;Coux;45.321639;-0.409436;7;Ardèche;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Ren%C3%A9_de_Lacharri%C3%A8re
Marcel Conche;scholar;1922.0;Corrèze;45.365038;1.862942;19;Corrèze;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Marcel_Conche
Bernard Pouderon;scholar;1951.0;Saint-Étienne;45.430195;4.370045;42;Loire;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Bernard_Pouderon
Claude Longeon;scholar;1941.0;Saint-Étienne;45.430195;4.370045;42;Loire;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Claude_Longeon
Thierry Poyet (auteur);scholar;1968.0;Saint-Étienne;45.430195;4.370045;42;Loire;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Thierry_Poyet_(auteur)
Henri Metzger;scholar;2007.0;La Tronche;45.469885;1.754407;19;Corrèze;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Henri_Metzger
Guy Bégué;scholar;1932.0;Angoulême;45.644105;0.148008;16;Charente;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Guy_B%C3%A9gu%C3%A9
Maurice Duverger;scholar;1917.0;Angoulême;45.644105;0.148008;16;Charente;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Maurice_Duverger
François Hartog;scholar;1946.0;Albertville;45.671004;6.396774;73;Savoie;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hartog
Alain Montandon;scholar;1945.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Alain_Montandon
Bruno Benoit;scholar;1949.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Bruno_Benoit
Christiane Chauviré;scholar;1945.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Christiane_Chauvir%C3%A9
Françoise Briquel-Chatonnet;scholar;1956.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Fran%C3%A7oise_Briquel-Chatonnet
Françoise Dastur;scholar;1942.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Fran%C3%A7oise_Dastur
Isabelle Huault;scholar;1967.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Isabelle_Huault
Jacques Duraffourg;scholar;2008.0;Lyon;45.758;4.835;69;Rhône;Auvergne-Rhône-Alpes;https://fr.wikipedia.org/wiki/Jacques_Duraffourg
